University_Name,Alumni,Staff,Hici,N&S,PUB,PCP
The Australian National University,12.7,17.4,19.5,24.2,43.5,29.7
University of Sao Paulo,0,0,17.2,16.3,70.7,17.7
Université Grenoble Alpes,11.6,13,15.9,22.2,45.9,20.6
Lund University,18,16.8,17.2,17.8,51.6,24.9
University of Vienna,16.4,11.9,20.6,23.5,40,30.3
University of Strasbourg,26,30.2,6.5,18.9,35.4,22.8
Erasmus University Rotterdam,13.7,13,25.2,15,51.4,32.5
Aix Marseille University,16.4,0,18.4,21.3,52.3,20.1
University of Amsterdam,0,0,30.5,20.6,54.1,23.9
Stockholm University,20.8,22.6,13,23.8,40.5,25.8
Beihang University,0,0,22.5,15.3,57.1,19.1
Nankai University,0,0,27.6,15.8,50.8,19.6
Hunan University,0,0,27.6,9.9,51.9,20.4
Beijing Normal University,14.7,0,15.9,14,57.9,20.1
University of Electronic Science and Technology of China,0,0,28.4,12.8,55.8,19.6
Soochow University,0,0,29.8,9.5,58.8,18.5
Delft University of Technology,10.4,0,15.9,24.8,43.2,22
Wageningen University & Research,0,0,27.6,16.8,41,28.4
University of Goettingen,29.4,0,13,25.2,34.9,35.5
Tongji University,0,0,9.2,11,71,21.5
Arizona State University,0,18.4,18.4,18.9,43.3,18.2
Shenzhen University,0,0,21.6,12.4,57.1,19.2
Xiamen University,0,0,20.6,17.5,57.6,19.6
University of Rochester,30.7,5.3,9.2,20.8,37.5,16.7
Vrije Universiteit Amsterdam,0,0,23.5,18,48.6,24.6
University of Cologne,0,9.2,14.6,22.1,39.6,32.1
Norwegian University of Science and Technology - NTNU,11.6,19.5,13,13.4,45.4,19.9
Case Western Reserve University,29.8,9.2,20.6,13,38,26.9
University of Montreal,10.4,0,15.9,21.3,52.2,24.9
University of Mainz,0,6.5,17.2,20.3,36.4,35.4
Michigan State University,7.3,0,15.9,21.5,50.6,18.9
University of Tuebingen,20.8,0,15.9,22.1,40.7,35.8
Chongqing University,0,0,22.5,5,62.4,19.4
Goethe University Frankfurt,31.6,0,14.6,19.1,38.8,34
Zhengzhou University,0,0,14.6,8.3,68,17.8
The University of Calgary,0,0,25.2,15.2,47.7,21.9
University of Muenster,18,9.2,13,20.7,34.3,29.1
University of Barcelona,0,0,18.4,13.5,51,28.1
Sungkyunkwan University,0,0,18.4,16.1,52,24.2
University of Arizona,13.7,0,13,24.7,47.1,21.1
"University of California, Santa Cruz",0,0,29.1,25.8,28.2,32.3
The Hong Kong Polytechnic University,0,0,23.5,9.8,58.7,22.3
Cardiff University,0,15,13,18.8,39.2,22
London School of Hygiene & Tropical Medicine,5.2,0,28.4,14.7,35.1,36.8
University of Southampton,0,0,22.5,19.9,43.9,25.3
University of Exeter,0,0,25.2,22,40.5,24.9
The University of Sheffield,16.4,11.3,14.6,17.1,43.4,23.5
Tokyo Institute of Technology,11.6,27.6,6.5,14.2,34.4,24.3
University of Milan,15.6,0,18.4,12.6,50.4,22.4
University of Pisa,19.4,20.6,6.5,7.9,40.8,23.4
Indiana University Bloomington,15.6,18.4,18.4,13.3,37.7,19.7
University of Waterloo,0,13.8,23.5,9.2,43,22.6
Technical University of Denmark,13.7,9.2,21.6,19.1,39.9,21.6
Georgia Institute of Technology,11.6,0,23.5,20.5,40.3,29
Tufts University,17.2,14.6,15.9,11.8,33.3,25.1
The University of Adelaide,12.7,0,29.8,13.3,42.8,31.9
University of Montpellier,9,0,13,20.6,47.7,23.6
University of Birmingham,16.4,6.5,14.6,18.7,48.4,23.4
University of Leeds,15.6,0,11.3,20.8,45.3,21
University of Wuerzburg,18,0,14.6,20.5,34.3,33.7
Fuzhou University,0,0,18.4,6.3,43,16.3
Beijing University of Chemical Technology,0,0,23.5,6.5,38.3,19.8
East China Normal University,0,0,14.6,14.1,45.1,16.1
Capital Medical University,0,0,6.5,9.1,58.6,37.6
Nanchang University,0,0,20.6,5.2,46.3,16.6
China University of Geosciences,0,0,20.6,8.7,47.1,18.9
Nanjing Medical University,0,0,11.3,8.9,53.6,26
Jiangsu University,0,0,14.6,2.7,51.7,16.3
Wuhan University of Technology,0,0,21.6,8,46.8,15.4
National Taiwan University,10.4,0,15.9,9.1,50.5,19.6
China Agricultural University,0,0,26,10,48.4,20.3
University of Science and Technology Beijing,0,0,13,7.6,52.9,19.9
The University of Auckland,12.7,0,18.4,9.2,41.6,23.4
Dalian University of Technology,0,0,21.6,6.4,58.2,17
Nanjing University of Aeronautics and Astronautics,0,0,19.5,3.2,49.8,18.3
Shanghai University,0,0,14.6,7.9,48.7,14.3
Northeastern University (Shenyang),0,0,13,6.9,53.2,19.2
Peking Union Medical College,0,0,17.2,8.7,51.1,33.1
Jinan University,0,0,11.3,9.9,50.2,17.5
University of Hamburg,13.7,0,9.2,20.2,38.6,28.7
Lanzhou University,0,0,11.3,9.2,50.4,18.1
Korea Advanced Institute of Science and Technology,0,0,11.3,22.1,37.3,28.4
Griffith University,0,0,13,13.5,39.4,24
Korea University,0,0,13,11.3,51.4,21.1
Karlsruhe Institute of Technology (KIT),0,0,11.3,7.3,39.8,37.7
University of Innsbruck,0,6.5,11.3,19.1,27.9,24.7
Queen's University,12.7,19.5,11.3,9,35.2,24.5
University of Ottawa,0,0,23.5,11.4,46.3,23.4
University of Manitoba,10.4,0,19.5,7.2,35.2,19.9
Queensland University of Technology,0,0,20.6,7,38.4,23.2
University of Leipzig,9,9.2,13,12.3,35.3,31.1
Heinrich Heine University Duesseldorf,10.4,0,19.5,12.2,31.9,35.9
Technical University of Berlin,12.7,0,11.3,16.1,31,31.9
Curtin University,0,0,15.9,15.4,39.8,29.3
Deakin University,0,0,19.5,7.4,43.4,25.4
Macquarie University,0,0,9.2,17,39.1,26.2
TU Dresden,0,0,20.6,13.2,42.7,34.9
University of Technology Sydney,0,0,21.6,9.2,40.4,26.6
Swinburne University of Technology,0,0,20.6,11.6,29,30
Catholic University of Louvain,9,11.9,17.2,10,29.5,25
Medical University of Vienna,7.3,0,14.6,17.4,37.1,27
King Abdullah University of Science and Technology,0,0,29.8,15.5,31.7,19.6
King Abdulaziz University,0,0,22.5,4.5,50.2,15.1
Ulsan National Institute of Science and Technology,0,0,19.5,17.7,23.8,32.6
Yonsei University,0,0,13,12.9,57.6,21.5
Kiel University,7.3,9.2,15.9,11.5,30,28.3
Trinity College Dublin,12.7,11.3,18.4,12.8,34.3,18.4
University of Buenos Aires,11.6,20.6,6.5,6.1,32,17
National Autonomous University of Mexico,11.6,0,0,12.5,51.8,22.9
University of Turin,12.7,0,15.9,10,45.4,20.4
Tohoku University,13.7,0,13,16.1,48.7,15.7
University of Delaware,9,15,13,10.3,31.1,18.8
University of Lisbon,0,6.5,9.2,12.7,51.1,18.6
University of Massachusetts Amherst,12.7,0,22.5,18.7,35.1,23.3
Northeastern University (Boston),0,0,17.2,17.1,32.3,18.2
George Mason University,0,29.1,6.5,12.3,30.6,19.6
"University of California, Riverside",11.6,0,15.9,21,32.2,24
University of Virginia,0,0,14.6,22,44.1,17.5
Virginia Commonwealth University,9,13,11.3,6.2,34.7,14.3
University of Sussex,0,20.3,13,11.9,29.4,23.5
Virginia Polytechnic Institute and State University,10.4,0,14.6,15.7,41,18
Texas A&M University,0,0,13,21.1,50.6,18.9
Colorado State University,0,0,14.6,16.4,35.6,19.5
North Carolina State University - Raleigh,0,0,17.2,12.8,40.3,18.5
Baylor College of Medicine,0,0,19.5,22.6,41.8,15.8
University of Tennessee - Knoxville,9,0,13,12.6,39.2,19.8
University of Missouri - Columbia,7.3,13.8,14.6,8,36.2,16.7
University of Massachusetts Chan Medical School,0,18.4,14.6,20.2,22.6,18.9
Claude Bernard University Lyon 1,9,0,11.3,21.6,39.9,20.7
Tel Aviv University,0,0,9.2,19.5,50.4,27.6
University of East Anglia,22,0,15.9,12.5,28.3,24.6
University of Houston,0,0,14.6,13.6,38.4,22.3
University of Naples Federico II,0,0,14.6,10.8,50.1,19.5
University of Valencia,0,0,13,10.3,45.7,18.6
Polytechnic University of Milan,5.2,13,6.5,9.9,39,20.6
University of Padua,0,0,13,15.8,54.4,22.4
Newcastle University,0,0,11.3,17.4,40.7,20.6
University of Cape Town,16.4,0,11.3,13.8,37.5,18.3
University of Bordeaux,12.7,0,9.2,19.9,38.1,19.1
University of Erlangen-Nuremberg,0,0,13,17.7,39.5,29.9
Ruhr University Bochum,0,0,13,12.3,36.5,30.2
RWTH Aachen University,0,0,9.2,18.5,44.8,35.9
Western University,0,0,17.2,5,44.2,21.4
University of Aberdeen,0,11.3,20.6,8,28.4,24
University of Lorraine,10.4,13,11.3,11.3,35.1,14.6
The Hong Kong University of Science and Technology,0,0,17.2,9.8,39.3,21.2
Queen Mary University of London,15.6,0,15.9,17.3,40.7,23.8
Oregon Health and Science University,0,0,15.9,17.7,34,18.9
University of Bergen,13.7,0,6.5,16,37.3,21.5
Maastricht University,0,0,13,7.6,44.3,26.3
