"University_Name","Alumni","Award","Hici","N.S","PUB","PCP"
"King's College London",1.84159928422606,1.13558769914744,2.76923856400791,0.745011724205141,1.62656713589413,1.10224760621241
"The University of Texas Southwestern Medical Center at Dallas",1.24952409662461,2.40755656341683,1.85778946494711,2.23975940072992,0.340340489115181,0.875386801354374
"Utrecht University",1.60476920918548,1.17043616118222,2.21325461358082,1.2808646648461,1.61195092399892,0.898072881840178
"University of Illinois at Urbana-Champaign",2.05869351967992,2.54695041155594,0.581760726262,1.81671760548706,1.2173132028281,0.727927278196651
"Swiss Federal Institute of Technology Lausanne",-0.44775810783287,2.20717790671685,1.31092000551064,2.59699469449056,0.333032383167573,3.51831517795048
"University of Geneva",3.24284389488282,2.9215713784298,0.198952104656466,1.42187859659372,0.581507985386235,2.06640602685906
"University of Maryland, College Park",1.24952409662461,1.27498154728655,1.7301865910786,2.35257054612802,0.968837600609441,1.34045145131335
"Université Paris Cité",0.923882743443815,0.551875960064912,2.14945317664657,1.62869902982356,1.77272925484629,0.603153835524732
"University of Bonn",2.54222158955444,2.54695041155594,0.691134618149295,0.951832157434985,0.479194502119727,2.59952891827544
"University of Southern California",-0.44775810783287,2.20717790671685,1.85778946494711,1.22445909214705,1.31962668609461,0.603153835524732
"The University of Queensland",0.696920588196594,-0.328047706313226,2.57783425320514,1.27146373606293,2.0723615986982,1.63537049762879
"University of California, Santa Barbara",0.9041469038571,2.80831387681677,0.691134618149295,2.31496683099532,-0.0542972320556333,1.82820218175812
"University of Colorado at Boulder",0.696920588196594,2.40755656341683,0.791394019045983,2.03293896750008,0.62535662107188,1.38582361228495
"Vanderbilt University",0.9041469038571,1.94581444145602,1.3838359334355,0.980034943784509,1.17346456714246,1.56731225617138
"University of Zurich",-0.44775810783287,1.46664808847783,1.1559736586703,1.89192503575246,1.4073239574659,1.82820218175812
"National University of Singapore",-0.44775810783287,-0.328047706313226,2.72366610905487,1.34667116632832,2.03582106896016,1.56731225617138
"University of Groningen",0.805467705923525,1.64089039865172,1.3838359334355,1.00823773013403,1.40001585151829,0.97747416354049
"The University of Hong Kong",-0.44775810783287,-0.328047706313226,3.45282538830351,1.2808646648461,1.55348607641805,1.15896280742692
"Weizmann Institute of Science",1.17058073827775,0.978769619990939,1.97627784782502,2.73800862623818,-0.653561919759462,2.90579100483379
"University of Oslo",2.00935392071313,2.20717790671685,0.691134618149295,0.415979216794026,1.40001585151829,1.07956152572661
"Sun Yat-sen University",-0.44775810783287,-0.328047706313226,1.52966778928523,0.679205222722918,3.70206922501471,0.603153835524732
"University of Sydney",0.805467705923525,-0.328047706313226,2.14945317664657,1.01763865891721,2.27698856523121,1.13627672694111
"McGill University",2.45341031141422,-0.328047706313226,1.3838359334355,1.86372224940293,1.71426440726542,0.864043761111472
"University of California, Irvine",1.00282610179067,2.01551136552558,1.31092000551064,1.3560720951115,0.81536737570968,0.557781674553125
"The University of New South Wales",-0.44775810783287,-0.328047706313226,2.47757485230845,1.37487395267785,2.05043728085538,1.31776537082754
"KU Leuven",-0.44775810783287,-0.328047706313226,1.97627784782502,1.65690181617309,1.79465357268911,1.49925401471397
